	dest_ip	dest_port	highest layer	length	timestamp
442	172.17.0.2	8080	TCP	66	1521395001.045681
443	172.17.0.1	48404	DATA-TEXT-LINES	471	1521395001.047197
444	172.17.0.2	8080	TCP	66	1521395001.047205
445	172.17.0.2	8080	HTTP	66	1521395001.050772
446	172.17.0.1	48404	TCP	66	1521395001.055355
447	172.17.0.2	8080	TCP	66	1521395001.055366
448	172.17.0.2	8080	TCP	74	1521395031.895322
449	172.17.0.1	56412	TCP	74	1521395031.89534
450	172.17.0.2	8080	TCP	66	1521395031.895345
451	172.17.0.2	8080	URLENCODED-FORM	969	1521395031.895408
452	172.17.0.1	56412	TCP	66	1521395031.895419
453	172.17.0.1	56412	TCP	7306	1521395031.954225
454	172.17.0.2	8080	TCP	66	1521395031.954238
455	172.17.0.1	56412	TCP	1826	1521395031.954245
456	172.17.0.2	8080	TCP	66	1521395031.954247
457	172.17.0.1	56412	TCP	3649	1521395031.954271
458	172.17.0.2	8080	TCP	66	1521395031.954274
459	172.17.0.1	56412	DATA-TEXT-LINES	471	1521395031.95592
460	172.17.0.2	8080	TCP	66	1521395031.955926
461	172.17.0.2	8080	TCP	66	1521395031.959984
462	172.17.0.1	56412	TCP	66	1521395031.965647
463	172.17.0.2	8080	TCP	66	1521395031.965659
464	172.17.0.2	8080	TCP	74	1521395034.210872
465	172.17.0.1	60510	TCP	74	1521395034.21089
466	172.17.0.2	8080	TCP	66	1521395034.210896
467	172.17.0.2	8080	URLENCODED-FORM	969	1521395034.210954
468	172.17.0.1	60510	TCP	66	1521395034.210965
469	172.17.0.1	60510	TCP	7306	1521395034.293532
470	172.17.0.2	8080	TCP	66	1521395034.293541
471	172.17.0.1	60510	TCP	1826	1521395034.293549
472	172.17.0.2	8080	TCP	66	1521395034.293551
473	172.17.0.1	60510	TCP	3679	1521395034.293574
474	172.17.0.2	8080	TCP	66	1521395034.293577
475	172.17.0.1	60510	DATA-TEXT-LINES	471	1521395034.295152
476	172.17.0.2	8080	TCP	66	1521395034.295156
477	172.17.0.2	8080	TCP	66	1521395034.299565
478	172.17.0.1	60510	TCP	66	1521395034.302881
479	172.17.0.2	8080	TCP	66	1521395034.302889
