,dest_ip,dest_port,highest_layer,length,response_type,src_ip,timestamp
310,162.212.156.148,53,DNS,220,0,10.0.2.15,1521397349.98416
311,10.0.2.15,43917,DNS,325,1,162.212.156.148,1521397350.000293
312,162.212.156.148,53,DNS,203,0,10.0.2.15,1521397350.00053
313,10.0.2.15,43917,DNS,308,1,162.212.156.148,1521397350.020639
314,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397350.020884
315,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397350.035644
316,162.212.156.148,53,DNS,261,0,10.0.2.15,1521397350.035897
317,10.0.2.15,43917,DNS,366,1,162.212.156.148,1521397350.050801
318,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.052781
319,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.070255
320,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.070314
321,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.084156
322,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.084234
323,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.100379
324,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.100439
325,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.113859
326,162.212.156.148,53,DNS,255,0,10.0.2.15,1521397350.113923
327,10.0.2.15,43917,DNS,360,1,162.212.156.148,1521397350.129828
328,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397350.130071
329,10.0.2.15,43917,DNS,307,1,162.212.156.148,1521397350.144416
330,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397350.144667
331,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397350.158884
332,162.212.156.148,53,DNS,270,0,10.0.2.15,1521397350.159157
333,10.0.2.15,43917,DNS,375,1,162.212.156.148,1521397350.182258
334,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.185981
335,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.205437
336,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.205499
337,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.218907
338,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.219005
339,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.233498
340,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.233559
341,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.247125
342,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.247185
343,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.281033
344,162.212.156.148,53,DNS,225,0,10.0.2.15,1521397350.281132
345,10.0.2.15,43917,DNS,230,1,162.212.156.148,1521397350.315192
346,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.315435
347,10.0.2.15,43917,DNS,391,1,162.212.156.148,1521397350.340805
348,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.340948
349,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.368169
350,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.368296
351,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.381777
352,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.381839
353,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.395499
354,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.395561
355,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.417139
356,162.212.156.148,53,DNS,225,0,10.0.2.15,1521397350.417255
357,10.0.2.15,43917,DNS,292,1,162.212.156.148,1521397350.433077
358,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.433319
359,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.451326
360,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.451401
361,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.465111
362,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.465172
363,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.479907
364,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.479977
365,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.493958
366,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.494017
367,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.512244
368,162.212.156.148,53,DNS,225,0,10.0.2.15,1521397350.512322
369,10.0.2.15,43917,DNS,293,1,162.212.156.148,1521397350.527003
370,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.527208
371,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.544996
372,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.545059
373,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.564596
374,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.564659
375,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397350.58
376,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397350.580133
